data_idx,question,prompt,response,correct_choice,correct_choice_alphabet,parsed_response
16438,What is the cat near?,"What is the cat near?
A. dog
B. boxes
C. egg carton
D. books

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", D. Onthenumerable,books,D,D
11423,What word includes the first letter found at the top of the bus?,"What word includes the first letter found at the top of the bus?
A. so
B. to
C. in
D. go

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriously Associated with the neighb,so,A,B
13684,What is the third veggie called that cooked with the potatoes and carrots?,"What is the third veggie called that cooked with the potatoes and carrots?
A. lettuce
B. squash
C. chickpeas
D. cabbage

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable answers here but answer,cabbage,D,A
5132,How many species can be seen here of mammals?,"How many species can be seen here of mammals?
A. one
B. four
C. five
D. nine

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", Ainsi Zoroastre,one,A,B
8454,What is happening in the pot the woman stirs?,"What is happening in the pot the woman stirs?
A. boiling
B. freezing
C. cold storage
D. nothing

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response here but not,boiling,A,A
16500,What kind of beverage is there on the table top?,"What kind of beverage is there on the table top?
A. beer
B. tea
C. juice
D. coffee

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", B. tea. The,tea,B,B
14187,What kind of buses are in the derby for demolition?,"What kind of buses are in the derby for demolition?
A. city
B. postal
C. prison
D. school

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response ofodefs,school,D,A
7669,Why is the dog in midair?,"Why is the dog in midair?
A. grabbing frisbee
B. fell
C. thrown
D. bounced

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,grabbing frisbee,A,A
12325,What are the two areas decorated with red sheets used for?,"What are the two areas decorated with red sheets used for?
A. performing
B. serving
C. sleeping
D. gaming

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C of autonoms,sleeping,C,C
8366,Why is she forbidden to go past the barrier?,"Why is she forbidden to go past the barrier?
A. impossible
B. dangerous
C. country border
D. must pay

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A of neighbir,dangerous,B,A
16076,Where are these items sold?,"Where are these items sold?
A. shoprite
B. hobby lobby
C. home depot
D. best buy

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,shoprite,A,A
6902,What dessert item was just placed within the appliance?,"What dessert item was just placed within the appliance?
A. muffins
B. croissants
C. brownies
D. cookies

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. Mutnr,cookies,D,A
