data_idx,question,prompt,response,correct_choice,correct_choice_alphabet,parsed_response,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
10599,What is the finger everyone is holding up commonly called?,"What is the finger everyone is holding up commonly called?
A. big finger
B. ring finger
C. index finger
D. thrust finger

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D,index finger,C,D,1,10,15.41,89.5,7.03,,10,30,90,80,70,20,0,0,0,0,0,0,20,10,10,0,10,20,10,0,0,30,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,10,20,0,0,0,0,0,0,10,0,0,10,0,0,0,0
13623,Why do hunters hunt this animal?,"Why do hunters hunt this animal?
A. ears
B. trunk
C. ivory tusks
D. tail

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C,ivory tusks,C,C,1,6,1,98.75,,,6,16.67,83.33,66.67,50,16.67,0,0,0,0,0,0,16.67,16.67,0,0,0,16.67,16.67,0,0,33.33,0,0,0,0,0,0,16.67,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0
12026,The parent company of this telephone brand is from what country?,"The parent company of this telephone brand is from what country?
A. finland
B. germany
C. japan
D. united states

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D,germany,B,D,1,11,89.52,86.82,5.07,,11,27.27,90.91,54.55,54.55,18.18,0,0,0,0,0,0,18.18,18.18,9.09,0,18.18,9.09,0,0,0,9.09,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36,9.09,0,0,0,0,9.09,9.09,9.09,0,0,0,9.09,0,0,9.09,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
10315,Why are the horses behind a fence?,"Why are the horses behind a fence?
A. fun
B. fear
C. aesthetic appeal
D. security

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D,security,D,D,1,7,99,,24.32,,7,0,71.43,71.43,71.43,0,0,0,0,0,0,0,0,28.57,28.57,0,14.29,14.29,14.29,0,0,14.29,0,0,0,0,0,0,14.29,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0
15774,If you had to guess which holiday would this most likely be?,"If you had to guess which holiday would this most likely be?
A. thanksgiving
B. christmas
C. new years
D. halloween

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,halloween,D,B,1,12,1,40.06,39.59,99,12,8.33,100,83.33,75,25,8.33,0,0,8.33,0,0,16.67,16.67,0,0,8.33,25,0,8.33,0,33.33,16.67,8.33,0,0,0,0,41.67,0,41.67,8.33,0,8.33,25,0,16.67,0,8.33,8.33,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0
1127,The type of animal the doll is is the same as what famous character?,"The type of animal the doll is is the same as what famous character?
A. daffy
B. garfield
C. pluto
D. yogi

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C,yogi,D,C,1,14,96.35,9.23,2.36,98.65,14,7.14,71.43,71.43,57.14,7.14,0,0,0,0,0,0,7.14,21.43,21.43,0,14.29,14.29,0,7.14,0,14.29,14.29,0,7.14,0,7.14,7.14,7.14,0,7.14,0,0,0,0,0,7.14,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,7.14,0,0,7.14,0,0,0,0
11919,How will he be able to tell what time it is?,"How will he be able to tell what time it is?
A. keyboard
B. sundial
C. donut
D. watch

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D,watch,D,D,1,11,1,86.82,5.07,,11,0,100,81.82,72.73,27.27,9.09,0,0,0,9.09,0,18.18,0,0,0,9.09,27.27,9.09,0,0,36.36,0,0,9.09,0,9.09,0,9.09,0,9.09,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,9.09,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,9.09,0,9.09,9.09,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
6443,Indoor plants are used to grow for what purpose?,"Indoor plants are used to grow for what purpose?
A. water purifier
B. air purifier
C. water filter
D. decoration

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D,air purifier,B,D,1,9,89.52,,77.17,,9,11.11,88.89,66.67,44.44,11.11,0,0,0,0,0,0,11.11,0,0,0,22.22,11.11,0,0,0,33.33,0,0,0,0,0,0,22.22,0,22.22,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,22.22,0,0,0,0,11.11,11.11,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0
9912,What's the purpose of the colorful banners in the outfield?,"What's the purpose of the colorful banners in the outfield?
A. to advertise
B. to educate
C. to celebrate
D. to distract

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A,to advertise,A,A,1,10,99,,7.03,99,10,40,80,70,60,10,0,0,0,0,0,0,10,30,30,0,20,10,0,0,0,10,10,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,10,0,0,0,0,10,0,0,0,0,0,0,20,0,0,10,0,10,0,0
11963,What letter was altered by someone on this sign?,"What letter was altered by someone on this sign?
A. y covered
B. l added
C. 
D. none

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B,y covered,A,B,1,9,33.38,92.24,,,9,22.22,66.67,66.67,66.67,33.33,0,0,0,0,0,0,33.33,11.11,0,0,22.22,11.11,0,0,0,11.11,0,0,0,0,0,0,11.11,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0
